ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"118.174.219.41","elite","AS23969","TH","TOT Public Company Limited","163","TOT Public Company Limited","4153","socks4","1233","1","2023-01-18T20:08:55.027Z","82","687","837"
"187.49.207.65","elite","AS53059","BR","Center Prestadora Serviços S/C Ltda","221","Center Prestadora Serviços S/C Ltda","4153","socks4","1157","2","2023-01-18T20:08:55.482Z","100","801","801"
"176.97.80.48","elite","AS198073","PL","Telewizja Kablowa Slupsk Sp. z o. o.","77","Telewizja Kablowa \"Slupsk\" Sp. z o.o.","5678","socks4","1300","1","2023-01-18T20:08:55.816Z","99","802","810"
"38.127.179.87","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","11537","socks5","1192","1","2023-01-18T20:08:55.028Z","100","801","802"
"218.106.166.114","elite","AS4808","CN","China Unicom CncNet","248","Beijing Xiaoniren Corp","4145","socks4","1143","1","2023-01-18T20:08:55.457Z","100","859","861"
"36.66.43.157","elite","AS7713","ID","PT. Telekomunikasi Indonesia","184","N/A","5678","socks4","1155","1","2023-01-18T20:08:55.456Z","98","835","852"
"202.137.17.151","elite","AS9905","ID","LINKNET","175","N/A","5678","socks4","1130","1","2023-01-18T20:08:55.024Z","100","801","805"
"103.36.35.249","elite","AS131111","ID","PT Mora Telematika Indonesia","160","PT Tunas Sukses Mandiri","5678","socks4","1059","1","2023-01-18T20:08:55.006Z","100","854","857"
"8.219.135.23","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","327","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","1114","1","2023-01-18T20:08:55.457Z","100","830","831"
"160.119.69.222","elite","AS212032","US","HostUS","146","N/A","10800","socks5","1195","1","2023-01-18T20:08:55.485Z","100","741","741"
"83.142.161.30","elite","AS8369","RU","Intersvyaz-2 JSC","70","Intersvyaz-2 JSC","80","socks4","1218","1","2023-01-18T20:08:55.484Z","100","847","847"
"190.0.22.36","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","143","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","1162","1","2023-01-18T20:08:55.795Z","100","858","858"
"103.102.136.69","elite","AS137029","BD","Chittagong multi channel limited","198","Nizam Uddin Mazud","5678","socks4","1111","1","2023-01-18T20:08:55.487Z","98","732","745"
"190.0.244.146","elite","AS27951","CO","Media Commerce Partners S.A","162","Gonzalez Florez Radiologia Especializada SA","4153","socks4","1091","1","2023-01-18T20:08:54.650Z","100","793","795"
"75.66.192.137","elite","AS7922","US","Comcast Cable Communications","116","Comcast Cable Communications Holdings, Inc","27977","socks5","1151","1","2023-01-18T20:08:54.262Z","100","774","777"
"181.209.86.171","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","240","CH SISTEMAS S.R.L","58682","socks4","1070","1","2023-01-18T20:08:54.651Z","94","813","862"
"185.131.172.51","anonymous","AS15774","RU","Limited Liability Company \"TTK-Svyaz\"","152","Closed Joint Stock Company SibTransTelecom","5050","http","1277","681","2023-01-18T20:08:54.264Z","99","739","744"
"50.96.204.7","elite","AS7029","US","Windstream Communications LLC","114","Windstream Communications LLC","18351","socks4","1123","1","2023-01-18T20:08:54.649Z","100","855","858"
"173.212.224.116","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","50886","socks5","1103","1","2023-01-18T20:08:54.649Z","100","809","810"
"202.43.230.143","elite","AS9422","ID","PT Solnet Indonesia","183","N/A","4153","socks4","1070","1","2023-01-18T20:08:54.689Z","95","763","807"
"113.218.241.187","elite","AS4134","CN","Chinanet","209","Chinanet HN","7890","socks4","1219","1","2023-01-18T20:08:54.298Z","63","521","826"
"165.154.226.109","elite","AS142002","TW","Scloud Pte Ltd","225","Scloud Pte Ltd","80","socks5","1141","1","2023-01-18T20:08:54.695Z","100","781","784"
"64.124.145.1","elite","AS6461","US","Zayo Bandwidth","114","D&P Digital Forensics LLC","1080","socks4","1207","1","2023-01-18T20:08:54.692Z","100","828","832"
"89.201.192.158","elite","AS34594","HR","OT - Optima Telekom d.d","41","N/A","1080","socks4","1126","1","2023-01-18T20:08:54.264Z","36","269","742"
"84.51.0.199","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","56","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","1154","1","2023-01-18T20:08:54.648Z","100","841","841"
"177.105.68.117","elite","AS262637","BR","Netprimus Tecnologia Ltda","188","Netprimus Tecnologia Ltda","4153","socks4","1056","1","2023-01-18T20:08:54.651Z","100","822","826"
"124.158.160.181","elite","AS9341","ID","ICON+","195","N/A","5678","socks4","1139","1","2023-01-18T20:08:54.263Z","82","711","862"
"103.213.118.46","elite","AS38750","ID","Telemedia Dinamika Sarana","159","TDS PLB Dedicated","1080","socks5","1106","1","2023-01-18T20:08:54.264Z","98","847","862"
"142.4.8.1","elite","AS46606","US","Unified Layer","131","Unified Layer","14883","socks4","1138","1","2023-01-18T20:08:53.230Z","100","744","744"
"38.127.172.35","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","11537","socks4","1138","1","2023-01-18T20:08:53.960Z","100","758","759"
"208.113.155.176","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","12886","socks4","1216","1","2023-01-18T20:08:53.939Z","100","804","804"
"192.99.182.243","anonymous","AS16276","US","OVH Hosting","85","OVH","3128","http","1176","692","2023-01-18T20:08:53.569Z","100","747","747"
"80.80.167.246","elite","AS21246","XK","IPKO-PPANP","40","N/A","10801","socks4","1133","1","2023-01-18T20:08:53.227Z","100","843","845"
"114.92.241.175","elite","AS4812","CN","China Telecom (Group)","204","Chinanet SH","4145","socks4","1313","1","2023-01-18T20:08:53.198Z","99","777","787"
"190.242.118.93","anonymous","AS23520","CO","Columbus Networks USA, Inc.","134","Columbus Networks Colombia","55443","http","1211","728","2023-01-18T20:08:53.942Z","98","823","843"
"202.159.30.81","elite","AS9340","ID","PT IndoInternet","162","N/A","443","socks4","1303","1","2023-01-18T20:08:53.198Z","99","776","781"
"49.247.24.133","elite","AS38700","KR","SMILESERV","229","SMILESERV","3128","http","1292","733","2023-01-18T20:08:53.941Z","67","503","747"
"1.10.133.77","elite","AS23969","TH","TOT Public Company Limited","162","Shared Dynamic IP Address for Residential Broadband Services","4145","socks4","1149","1","2023-01-18T20:08:53.960Z","71","599","846"
"24.172.34.114","elite","AS11426","US","Charter Communications Inc","131","Spectrum","60133","socks4","1287","1","2023-01-18T20:08:53.544Z","59","441","745"
"203.95.220.33","elite","AS63996","BD","Mazeda Networks Limited","196","Mazeda Networks Limited","4153","socks4","1114","1","2023-01-18T20:08:53.228Z","99","849","861"
"5.178.217.227","elite","AS16010","GE","MAGTI-BROADBAND","80","N/A","31019","socks4","1275","1","2023-01-18T20:08:53.199Z","100","858","862"
"75.119.205.127","elite","AS26347","US","New Dream Network, LLC","148","New Dream Network, LLC","32238","socks4","1298","1","2023-01-18T20:08:53.544Z","100","847","847"
"101.204.186.61","elite","AS4837","CN","China Unicom Sichuan Province Network","267","N/A","24388","socks5","1194","1","2023-01-18T20:08:53.940Z","74","594","801"
"24.116.218.195","anonymous","AS11492","US","CABLE ONE, INC.","154","Sparklight","8080","http","1092","755","2023-01-18T20:08:53.961Z","98","731","747"
"103.85.103.17","elite","AS135788","IN","Vedant Broadband","196","N/A","5678","socks4","1206","1","2023-01-18T20:08:53.939Z","99","835","842"
"110.172.137.20","elite","AS133647","IN","worldphone","169","N/A","4673","socks4","1103","1","2023-01-18T20:08:53.231Z","97","721","746"
"38.127.172.221","elite","AS174","US","Cogent Communications","82","Torlandia Trading SRL","55994","socks4","1081","1","2023-01-18T20:08:53.232Z","100","771","773"
"118.69.62.229","elite","AS18403","VN","FPT Telecom Company","186","Vietnam Internet Network Information Center","5678","socks4","1114","1","2023-01-18T20:08:53.231Z","98","825","846"
"178.128.211.134","elite","AS14061","SG","DigitalOcean, LLC","155","Digitalocean","6868","https","1114","1086","2023-01-18T20:08:53.962Z","100","860","862"
"38.131.32.78","elite","AS14726","US","Chisholm Broadband LLC","125","Chisholm Broadband","5678","socks4","1331","1","2023-01-18T20:08:53.225Z","99","811","816"
"8.219.11.125","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","306","Alibaba.com Singapore E-Commerce Private Limited","443","socks5","1183","1","2023-01-18T20:08:53.940Z","23","191","820"
"185.86.5.162","elite","AS29262","TR","Ideal Hosting Teknoloji","48","iDeal","8975","socks4","1179","1","2023-01-18T20:08:53.572Z","100","861","862"
"103.220.205.162","elite","AS59362","BD","KS Network","156","Nazmul Karim Bhuiyan","4673","socks4","1237","1","2023-01-18T20:08:53.938Z","95","747","788"
"203.142.71.51","anonymous","AS38482","ID","BIZNET","171","N/A","8080","http","1311","1110","2023-01-18T20:08:53.942Z","100","740","741"
"2.137.22.252","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","49","N/A","4153","socks4","1334","1","2023-01-18T20:08:53.197Z","98","814","827"
"37.252.86.97","elite","AS44395","AM","Ucom Cjsc","65","N/A","5678","socks4","1250","1","2023-01-18T20:08:52.143Z","99","852","863"
"50.236.203.15","anonymous","AS7922","US","Comcast Cable Communications, LLC","103","Comcast Cable Communications, LLC","8080","http","1161","847","2023-01-18T20:08:52.122Z","100","747","747"
"201.76.179.249","elite","AS17222","BR","Mundivox Do Brasil Ltda","191","Mundivox Do Brasil Ltda","31337","socks4","1322","1","2023-01-18T20:08:52.139Z","100","856","858"
"190.2.136.37","elite","AS49981","NL","WorldStream B.V.","10","WorldStream B.V","57324","socks4","1405","1","2023-01-18T20:08:52.804Z","100","844","844"
"103.77.10.98","elite","AS135632","PK","Cactus Network Solutions (CNS) Pvt Ltd","165","Cactus Network Solutions (CNS) Pvt Ltd","5678","socks4","1094","1","2023-01-18T20:08:52.495Z","95","750","789"
"177.66.195.116","elite","AS262503","BR","Wiki Telecomunicacoes Eireli","183","Maranhão Telecom ltda ME","4145","socks4","1291","1","2023-01-18T20:08:52.805Z","99","814","824"
"59.11.153.88","elite","AS4766","KR","Korea Telecom","229","Kornet","80","http","1369","775","2023-01-18T20:08:52.140Z","95","707","747"
"49.51.97.232","elite","AS132203","CA","OPHL","95","Tencent cloud computing (Beijing) Co., Ltd.","443","socks5","1226","1","2023-01-18T20:08:52.144Z","60","490","821"
"103.17.90.6","elite","AS45557","VN","VNTT","219","N/A","5678","socks4","1329","1","2023-01-18T20:08:52.136Z","100","802","804"
"45.126.168.178","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","195","NET 4 U Services PVT LTD","8080","socks4","1165","1","2023-01-18T20:08:52.495Z","97","725","747"
"139.255.86.226","elite","AS9905","ID","PT. LINKNET","187","N/A","5678","socks4","1116","1","2023-01-18T20:08:52.820Z","98","848","862"
"188.255.244.45","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","36","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1354","1","2023-01-18T20:08:52.468Z","100","838","838"
"202.141.242.3","elite","AS9260","PK","Multinet Broadband","160","Multinet Broadband","55544","socks4","1422","1","2023-01-18T20:08:52.803Z","98","840","859"
"105.213.187.89","elite","AS16637","ZA","MTN SA","186","MTN SA","5678","socks4","1349","1","2023-01-18T20:08:52.804Z","99","738","746"
