ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"85.204.143.3","elite","AS29119","ES","ServiHosting Networks S.L.","52","Aire Networks Del Mediterraneo SL Unipersonal","14880","socks4","1339","1","2023-01-18T20:08:49.036Z","100","818","818"
"47.92.155.21","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","165","Aliyun Computing Co., LTD","8118","http","1214","721","2023-01-18T20:08:49.899Z","97","742","766"
"43.242.242.140","elite","AS17882","MN","MCS Com Co Ltd","209","OrbitNet LLC","5678","socks4","1328","1","2023-01-18T20:08:49.037Z","97","804","830"
"186.47.232.243","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","179","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","1260","1","2023-01-18T20:08:49.456Z","100","859","863"
"188.166.217.4","elite","AS14061","SG","DigitalOcean, LLC","155","Digitalocean","20278","socks5","1172","1","2023-01-18T20:08:49.474Z","100","743","745"
"161.142.12.28","elite","AS9930","MY","TT DOTCOM SDN BHD","243","TT DOTCOM SDN BHD","80","socks4","1303","1","2023-01-18T20:08:49.884Z","98","731","745"
"182.253.28.124","anonymous","AS38482","ID","Biznet Networks","179","Panorama Tour","8080","http","1337","2427","2023-01-18T20:08:48.653Z","99","736","746"
"188.166.99.171","elite","AS14061","NL","DigitalOcean, LLC","10","Digital Ocean","18113","socks4","1335","1","2023-01-18T20:08:48.348Z","100","809","809"
"23.106.219.181","elite","AS396190","US","Leaseweb USA, Inc.","146","LeaseWeb USA, Inc. Seattle","32129","socks4","1324","1","2023-01-18T20:08:48.343Z","100","832","832"
"104.19.233.117","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","1291","1","2023-01-18T20:08:48.684Z","100","843","846"
"102.164.216.62","elite","AS327750","ZA","Jenny Internet cc","226","JENNY INTERNET (PTY) LTD","1080","socks4","1302","1","2023-01-18T20:08:48.349Z","97","784","810"
"185.132.90.169","elite","AS208909","ES","GurbTec Telecom SL","47","GurbTec Telecom SL","6789","socks4","1344","1","2023-01-18T20:08:48.342Z","98","792","807"
"104.25.87.42","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","1368","1","2023-01-18T20:08:48.340Z","100","787","787"
"46.200.72.130","elite","AS6849","UA","UKRTELECOM","55","JSC Ukrtelecom","5678","socks4","1337","1","2023-01-18T20:08:48.686Z","84","622","740"
"77.242.133.172","elite","AS44092","IT","Mywic Costumers","19","N/A","5678","socks4","1376","1","2023-01-18T20:08:47.553Z","100","787","790"
"37.186.5.16","elite","AS8540","AT","AMA netwoRX GmbH","36","KELAG-Karntner Elektrizitats - Aktiengesellschaft","5678","socks4","1324","1","2023-01-18T20:08:47.944Z","99","858","863"
"85.206.188.116","elite","AS8764","LT","Telia Lietuva","40","Telia Lietuva, AB","5678","socks4","1331","1","2023-01-18T20:08:47.557Z","90","770","852"
"181.78.8.43","elite","AS52468","CO","IFX Networks Argentina S.R.L","146","UFINET COLOMBIA, S. A","5678","socks4","1178","1","2023-01-18T20:08:47.164Z","98","730","747"
"202.8.73.206","elite","AS137236","KH","Turbotech CO.","184","Turbotech Co., Ltd.","5678","socks4","1250","1","2023-01-18T20:08:47.968Z","99","850","861"
"197.234.13.39","elite","AS36902","SC","Intelvision","175","Intelvision Ltd","4145","socks4","1260","1","2023-01-18T20:08:47.560Z","100","819","822"
"188.68.52.220","elite","AS197540","DE","netcup GmbH","20","NETCUP-GMBH","9050","socks5","1288","1","2023-01-18T20:08:47.946Z","100","843","843"
"101.109.247.173","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","1305","1","2023-01-18T20:08:47.583Z","88","746","845"
"142.93.113.81","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","7497","socks5","1350","1","2023-01-18T20:08:47.171Z","100","861","861"
"216.107.129.67","elite","AS61317","US","Colocation America Corporation","99","Ipxo LLC","10180","socks5","1333","1","2023-01-18T20:08:47.971Z","100","755","756"
"139.196.73.1","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","175","Aliyun Computing Co., LTD","80","socks4","1295","1","2023-01-18T20:08:47.967Z","99","821","831"
"123.59.100.246","elite","AS23724","CN","CloudVsp.Inc","160","N/A","1080","socks4","1318","1","2023-01-18T20:08:47.966Z","95","823","863"
"89.219.34.146","elite","AS48716","KZ","PS Internet Company LLC","98","Pskz Hosting","10043","socks4","1301","1","2023-01-18T20:08:47.163Z","100","800","801"
"60.48.191.51","elite","AS4788","MY","Tmnet, Telekom Malaysia Bhd.","150","Adsl Streamyx","8080","socks5","1295","1","2023-01-18T20:08:47.558Z","89","733","821"
